index,index,1. open,2. high,3. low,4. close,5. volume
212,2021-11-02 10:59:00,20.09,20.09,20.0657,20.0657,500.0
213,2021-11-02 10:58:00,20.08,20.08,20.08,20.08,294.0
214,2021-11-02 10:57:00,20.07,20.07,20.06,20.06,720.0
215,2021-11-02 10:56:00,20.09,20.09,20.09,20.09,100.0
216,2021-11-02 10:55:00,20.0673,20.0673,20.0673,20.0673,300.0
217,2021-11-02 10:54:00,20.09,20.09,20.09,20.09,200.0
218,2021-11-02 10:49:00,20.09,20.09,20.09,20.09,500.0
219,2021-11-02 10:48:00,20.0897,20.0897,20.08,20.0841,1581.0
220,2021-11-02 10:47:00,20.0899,20.0899,20.08,20.08,670.0
221,2021-11-02 10:46:00,20.085,20.085,20.085,20.085,240.0
222,2021-11-02 10:43:00,20.0899,20.0899,20.0899,20.0899,150.0
223,2021-11-02 10:39:00,20.09,20.09,20.09,20.09,4985.0
224,2021-11-02 10:37:00,20.09,20.09,20.0899,20.0899,226.0
225,2021-11-02 10:35:00,20.08,20.0888,20.08,20.0888,401.0
226,2021-11-02 10:34:00,20.062,20.062,20.0597,20.0597,445.0
227,2021-11-02 10:33:00,20.0572,20.0597,20.0572,20.0597,363.0
228,2021-11-02 10:31:00,20.07,20.07,20.07,20.07,571.0
229,2021-11-02 10:30:00,20.09,20.09,20.09,20.09,150.0
230,2021-11-02 10:29:00,20.0882,20.09,20.07,20.09,699.0
231,2021-11-02 10:26:00,20.09,20.09,20.09,20.09,421.0
232,2021-11-02 10:25:00,20.08,20.08,20.08,20.08,995.0
233,2021-11-02 10:24:00,20.085,20.085,20.085,20.085,274.0
234,2021-11-02 10:23:00,20.09,20.09,20.08,20.08,2003.0
235,2021-11-02 10:22:00,20.095,20.095,20.095,20.095,453.0
236,2021-11-02 10:19:00,20.095,20.095,20.095,20.095,322.0
237,2021-11-02 10:17:00,20.09,20.09,20.09,20.09,842.0
238,2021-11-02 10:14:00,20.1,20.1,20.1,20.1,605.0
239,2021-11-02 10:13:00,20.1094,20.1094,20.1094,20.1094,306.0
240,2021-11-02 10:12:00,20.11,20.11,20.11,20.11,2916.0
241,2021-11-02 10:11:00,20.105,20.11,20.105,20.11,9757.0
242,2021-11-02 10:10:00,20.11,20.11,20.105,20.105,2800.0
243,2021-11-02 10:08:00,20.11,20.12,20.11,20.11,852.0
244,2021-11-02 10:07:00,20.11,20.11,20.11,20.11,509.0
245,2021-11-02 10:05:00,20.105,20.11,20.1001,20.11,397.0
246,2021-11-02 10:04:00,20.105,20.105,20.105,20.105,752.0
247,2021-11-02 10:03:00,20.105,20.109,20.105,20.109,1450.0
248,2021-11-02 10:02:00,20.105,20.105,20.105,20.105,500.0
249,2021-11-02 09:59:00,20.1025,20.105,20.1,20.105,3475.0
250,2021-11-02 09:58:00,20.11,20.11,20.1,20.1,703.0
251,2021-11-02 09:57:00,20.1096,20.1096,20.1,20.1,441.0
252,2021-11-02 09:56:00,20.09,20.1099,20.09,20.1,5106.0
253,2021-11-02 09:55:00,20.11,20.11,20.0957,20.0957,1093.0
254,2021-11-02 09:54:00,20.1,20.11,20.1,20.1,1725.0
255,2021-11-02 09:53:00,20.1,20.1,20.1,20.1,1000.0
256,2021-11-02 09:52:00,20.1093,20.1093,20.1093,20.1093,124.0
257,2021-11-02 09:51:00,20.1,20.1099,20.1,20.1,2016.0
258,2021-11-02 09:49:00,20.0843,20.0843,20.0843,20.0843,280.0
259,2021-11-02 09:48:00,20.1,20.1,20.1,20.1,490.0
260,2021-11-02 09:47:00,20.085,20.1087,20.085,20.1,1812.0
261,2021-11-02 09:46:00,20.11,20.11,20.07,20.1089,2902.0
262,2021-11-02 09:45:00,20.13,20.13,20.11,20.125,7377.0
263,2021-11-02 09:44:00,20.13,20.13,20.13,20.13,171.0
264,2021-11-02 09:43:00,20.1486,20.1486,20.11,20.11,1302.0
265,2021-11-02 09:41:00,20.13,20.13,20.11,20.11,1539.0
266,2021-11-02 09:40:00,20.15,20.15,20.11,20.13,3271.0
267,2021-11-02 09:39:00,20.121,20.15,20.1169,20.15,895.0
268,2021-11-02 09:38:00,20.1699,20.1699,20.16,20.1694,556.0
269,2021-11-02 09:37:00,20.16,20.16,20.16,20.16,365.0
270,2021-11-02 09:36:00,20.155,20.1999,20.155,20.16,701.0
271,2021-11-02 09:35:00,20.15,20.21,20.15,20.15,527.0
272,2021-11-02 09:34:00,20.1,20.105,20.1,20.1,7011.0
273,2021-11-02 09:33:00,20.0201,20.0201,20.0201,20.0201,126.0
274,2021-11-02 09:32:00,20.12,20.15,20.02,20.15,1042.0
275,2021-11-02 09:31:00,20.25,20.36,20.25,20.36,5222.0
276,2021-11-02 09:17:00,20.3,20.32,20.3,20.32,252.0
277,2021-11-01 16:03:00,20.32,20.35,20.32,20.35,1500.0
278,2021-11-01 16:00:00,20.31,20.31,20.3,20.3,3540.0
279,2021-11-01 15:57:00,20.31,20.31,20.31,20.31,173.0
280,2021-11-01 15:56:00,20.3,20.31,20.3,20.31,2880.0
281,2021-11-01 15:55:00,20.31,20.315,20.31,20.31,684.0
282,2021-11-01 15:52:00,20.315,20.32,20.315,20.3199,4917.0
283,2021-11-01 15:50:00,20.32,20.32,20.32,20.32,200.0
284,2021-11-01 15:49:00,20.315,20.315,20.315,20.315,200.0
285,2021-11-01 15:48:00,20.315,20.315,20.315,20.315,100.0
286,2021-11-01 15:47:00,20.319,20.319,20.319,20.319,100.0
287,2021-11-01 15:46:00,20.315,20.315,20.315,20.315,125.0
288,2021-11-01 15:42:00,20.325,20.325,20.325,20.325,900.0
289,2021-11-01 15:41:00,20.32,20.32,20.32,20.32,200.0
290,2021-11-01 15:39:00,20.319,20.319,20.315,20.315,400.0
291,2021-11-01 15:33:00,20.319,20.32,20.31,20.32,12325.0
292,2021-11-01 15:32:00,20.31,20.31,20.31,20.31,100.0
293,2021-11-01 15:30:00,20.3029,20.3029,20.3029,20.3029,300.0
294,2021-11-01 15:29:00,20.31,20.31,20.3063,20.3063,210.0
295,2021-11-01 15:26:00,20.309,20.309,20.309,20.309,1040.0
296,2021-11-01 15:21:00,20.3,20.3,20.3,20.3,100.0
297,2021-11-01 15:20:00,20.3,20.3,20.3,20.3,325.0
298,2021-11-01 15:19:00,20.3,20.3,20.3,20.3,200.0
299,2021-11-01 15:18:00,20.3,20.3,20.3,20.3,2732.0
300,2021-11-01 15:17:00,20.3,20.3,20.29,20.3,903.0
301,2021-11-01 15:16:00,20.3,20.3,20.3,20.3,4576.0
302,2021-11-01 15:14:00,20.3,20.3,20.3,20.3,1000.0
303,2021-11-01 15:12:00,20.3,20.3,20.3,20.3,1001.0
304,2021-11-01 15:11:00,20.2901,20.2901,20.2901,20.2901,1459.0
305,2021-11-01 15:02:00,20.3,20.3,20.3,20.3,112.0
306,2021-11-01 14:57:00,20.2925,20.2925,20.2925,20.2925,400.0
307,2021-11-01 14:43:00,20.2891,20.2891,20.2891,20.2891,215.0
308,2021-11-01 14:40:00,20.295,20.295,20.29,20.29,976.0
309,2021-11-01 14:39:00,20.2925,20.2925,20.2925,20.2925,1061.0
310,2021-11-01 14:36:00,20.295,20.295,20.2901,20.2901,755.0
311,2021-11-01 14:33:00,20.3,20.3,20.3,20.3,100.0
312,2021-11-01 14:25:00,20.31,20.31,20.3099,20.3099,600.0
313,2021-11-01 14:09:00,20.3,20.3,20.3,20.3,1020.0
314,2021-11-01 14:07:00,20.295,20.3,20.295,20.3,2040.0
315,2021-11-01 14:01:00,20.3,20.3,20.3,20.3,1050.0
316,2021-11-01 14:00:00,20.3,20.3,20.2999,20.2999,300.0
317,2021-11-01 13:59:00,20.2999,20.2999,20.2999,20.2999,100.0
318,2021-11-01 13:55:00,20.295,20.295,20.295,20.295,265.0
319,2021-11-01 13:46:00,20.299,20.299,20.299,20.299,100.0
320,2021-11-01 13:41:00,20.2901,20.2901,20.2901,20.2901,200.0
321,2021-11-01 13:36:00,20.29,20.29,20.29,20.29,200.0
322,2021-11-01 13:25:00,20.305,20.305,20.3,20.3,1038.0
323,2021-11-01 13:23:00,20.305,20.305,20.305,20.305,100.0
324,2021-11-01 13:16:00,20.3091,20.3091,20.3025,20.3025,340.0
325,2021-11-01 13:15:00,20.305,20.305,20.305,20.305,500.0
326,2021-11-01 13:13:00,20.305,20.305,20.305,20.305,150.0
327,2021-11-01 13:11:00,20.305,20.305,20.305,20.305,400.0
328,2021-11-01 13:05:00,20.3001,20.3001,20.3001,20.3001,1700.0
329,2021-11-01 12:58:00,20.3025,20.3025,20.3025,20.3025,147.0
330,2021-11-01 12:49:00,20.2921,20.2921,20.2921,20.2921,120.0
331,2021-11-01 12:48:00,20.3,20.31,20.3,20.3,5799.0
332,2021-11-01 12:43:00,20.3,20.3,20.3,20.3,396.0
333,2021-11-01 12:39:00,20.305,20.305,20.305,20.305,260.0
334,2021-11-01 12:33:00,20.31,20.31,20.31,20.31,100.0
335,2021-11-01 12:32:00,20.31,20.32,20.31,20.31,26480.0
336,2021-11-01 12:31:00,20.3,20.3,20.3,20.3,188.0
337,2021-11-01 12:29:00,20.3,20.3,20.3,20.3,649.0
338,2021-11-01 12:27:00,20.33,20.3481,20.33,20.3481,509.0
339,2021-11-01 12:26:00,20.34,20.34,20.33,20.33,550.0
340,2021-11-01 12:25:00,20.34,20.36,20.34,20.36,5819.0
341,2021-11-01 12:24:00,20.3343,20.3343,20.3343,20.3343,200.0
342,2021-11-01 12:21:00,20.335,20.35,20.335,20.35,500.0
343,2021-11-01 12:20:00,20.33,20.33,20.33,20.33,43694.0
344,2021-11-01 12:19:00,20.33,20.33,20.33,20.33,144.0
345,2021-11-01 12:14:00,20.32,20.32,20.32,20.32,32438.0
346,2021-11-01 12:13:00,20.31,20.335,20.31,20.335,600.0
347,2021-11-01 12:12:00,20.31,20.31,20.31,20.31,200.0
348,2021-11-01 12:10:00,20.335,20.335,20.335,20.335,105.0
349,2021-11-01 11:46:00,20.36,20.36,20.36,20.36,125.0
350,2021-11-01 11:44:00,20.36,20.36,20.36,20.36,140.0
351,2021-11-01 11:36:00,20.36,20.37,20.36,20.37,533.0
352,2021-11-01 11:35:00,20.38,20.38,20.375,20.375,500.0
353,2021-11-01 11:31:00,20.31,20.3699,20.31,20.3699,1129.0
354,2021-11-01 11:29:00,20.295,20.3098,20.295,20.3098,1251.0
355,2021-11-01 11:26:00,20.295,20.295,20.295,20.295,150.0
356,2021-11-01 11:25:00,20.299,20.299,20.299,20.299,250.0
357,2021-11-01 11:16:00,20.2929,20.2929,20.2901,20.2929,1104.0
358,2021-11-01 11:14:00,20.2991,20.2991,20.295,20.295,800.0
359,2021-11-01 11:13:00,20.295,20.295,20.295,20.295,220.0
360,2021-11-01 11:05:00,20.295,20.295,20.295,20.295,101.0
361,2021-11-01 11:04:00,20.3,20.3,20.3,20.3,120.0
362,2021-11-01 11:03:00,20.2957,20.2957,20.29,20.29,4968.0
363,2021-11-01 11:01:00,20.2999,20.2999,20.2999,20.2999,102.0
364,2021-11-01 11:00:00,20.2925,20.295,20.29,20.295,655.0
365,2021-11-01 10:59:00,20.2925,20.295,20.29,20.295,1114.0
366,2021-11-01 10:55:00,20.29,20.295,20.29,20.295,1808.0
367,2021-11-01 10:54:00,20.295,20.295,20.295,20.295,250.0
368,2021-11-01 10:53:00,20.3,20.3,20.3,20.3,345.0
369,2021-11-01 10:52:00,20.295,20.299,20.295,20.299,250.0
370,2021-11-01 10:51:00,20.3,20.3,20.3,20.3,150.0
371,2021-11-01 10:45:00,20.295,20.295,20.2929,20.295,715.0
372,2021-11-01 10:43:00,20.295,20.299,20.295,20.295,8506.0
373,2021-11-01 10:40:00,20.29,20.29,20.29,20.29,350.0
374,2021-11-01 10:35:00,20.2999,20.2999,20.2773,20.2773,600.0
375,2021-11-01 10:22:00,20.309,20.309,20.309,20.309,240.0
376,2021-11-01 10:20:00,20.31,20.31,20.2966,20.309,1112.0
377,2021-11-01 10:19:00,20.309,20.309,20.309,20.309,550.0
378,2021-11-01 10:18:00,20.3084,20.3084,20.3084,20.3084,151.0
379,2021-11-01 10:17:00,20.31,20.31,20.31,20.31,202.0
380,2021-11-01 10:14:00,20.2741,20.2741,20.2741,20.2741,100.0
381,2021-11-01 10:13:00,20.309,20.31,20.309,20.309,526.0
382,2021-11-01 10:09:00,20.31,20.31,20.31,20.31,474.0
383,2021-11-01 10:07:00,20.31,20.31,20.31,20.31,238.0
384,2021-11-01 10:05:00,20.3,20.31,20.3,20.31,738.0
